	Provider	InstrumentID	InstrumentType	QuoteType	Field	EffectiveAt	Value	Unit	Lineage	CutLabel	UploadedBy	AsAt
73	TraderMade	USD/BRL	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	5.13207	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
74	TraderMade	BRL/AUD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.3352	BRL			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
75	TraderMade	SEK/CAD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.14032	SEK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
76	TraderMade	GBP/MXN	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	29.20918	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
77	TraderMade	NZD/SEK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	5.91655	NZD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
78	TraderMade	EUR/HRK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	7.60842	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
79	TraderMade	SGD/GBP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.59317	SGD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
80	TraderMade	CLP/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.00116	CLP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
81	TraderMade	CNY/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.14099	CNY			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
82	TraderMade	GBP/HKD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	8.9544	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
83	TraderMade	USD/AED	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	3.67257	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
84	TraderMade	KRW/GBP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.00069	KRW			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
85	TraderMade	KWD/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	3.20169	KWD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
86	TraderMade	TRY/CHF	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.14999	TRY			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
87	TraderMade	TRY/NZD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.26766	TRY			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
88	TraderMade	CHF/NOK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	11.7599	CHF			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
89	TraderMade	AUD/NOK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	6.74825	AUD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
90	TraderMade	EUR/PEN	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	3.79158	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
91	TraderMade	INR/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.01306	INR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
92	TraderMade	MAD/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.10208	MAD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
93	TraderMade	CAD/NOK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	7.98845	CAD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
94	TraderMade	GBP/AED	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	4.23539	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
